GeneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	contrast	direction	logFC_ave	power	TF
DNASE2B	0.5375295136406031	6.61140422639101	4.9880619577814365	1.4438816555898886e-5	0.004906309865694442	3.0682661358299548	T3d	1	0.5375295136406031	0.8370429551804912	0
DZIP1	0.5009338421289575	6.2016811383880786	4.987143117032918	1.4479958765716446e-5	0.00490877138863868	3.0656582085555986	T3d	1	0.6841441699605588	0.8214286927722262	0
GRIP2	0.9193437330563476	9.611115929693769	4.986788358413012	1.4495874592497167e-5	0.00490877138863868	3.0646513220729066	T3d	1	0.9193437330563476	0.9904826199663717	0
CSRNP3	-0.5934532103995434	7.884614278328848	-4.985516236080733	1.4553089585195203e-5	0.00491969315233038	3.061040828208368	T3d	-1	-0.5934532103995434	0.9949231489387975	1
RHPN2	-0.6804008979376821	8.494244113068316	-4.9751253853261925	1.5028888469721834e-5	0.005003299755349085	3.03155468623552	T3d	-1	-0.6804008979376821	0.8163497850865986	0
CACNA1H	-0.6339367955813398	6.25150693382655	-4.97215945211608	1.5167505678147319e-5	0.005015558203140916	3.0231398371700937	T3d	-1	-0.6339367955813398	0.8744665578116477	0
TELO2	-0.6912269715225712	5.317852043928157	-4.971525336944803	1.5197306000174407e-5	0.005016994733230105	3.02134083843063	T3d	-1	-0.6717660046386404	0.9696217059612312	0
PSMA6	-0.8353265362507445	6.653106253067598	-4.96913574830415	1.531012732172892e-5	0.005045787847952545	3.01456181540134	T3d	-1	-0.8353265362507445	0.9712436946030572	0
MLH1	-0.6447170520357339	7.108095931303982	-4.966970313252897	1.541308227876329e-5	0.005071238577341877	3.008419094338418	T3d	-1	-0.5579617399580652	0.9999994939119421	0
RABGGTB	-0.7628537197747196	8.993837631425862	-4.964778734098675	1.551797886370775e-5	0.005088760975665521	3.0022025993452583	T3d	-1	-0.6230042720112139	0.996672069882244	0
AGTPBP1	-0.556652811308489	3.836647541263362	-4.963557967814257	1.5576715467799167e-5	0.005091080250838691	2.9987400212374062	T3d	-1	-0.6170075819165028	0.9999730348121771	0
HIP1R	-0.5435733338721533	8.078113434356347	-4.958494481369853	1.5822704083471496e-5	0.005162916906600822	2.984379270309338	T3d	-1	-0.5435733338721533	0.9999999959706334	0
KRT34	-0.695914951911111	6.0618548919605075	-4.956422113062012	1.5924488239206153e-5	0.005170447842068707	2.9785023566361044	T3d	-1	-0.695914951911111	0.9822151743382359	0
